CLUSTER-45{size: 4, centroid: 96}
CLUSTER-46{size: 5, centroid: 97}
CLUSTER-47{size: 4, centroid: 98}
CLUSTER-48{size: 1, centroid: 99}
CLUSTER-49{size: 1, centroid: 100}
CLUSTER-0{size: 1, centroid: 396}
CLUSTER-1{size: 3, centroid: 178}
CLUSTER-2{size: 4, centroid: 24}
CLUSTER-3{size: 4, centroid: 382}
CLUSTER-4{size: 8, centroid: 484}
CLUSTER-5{size: 5, centroid: 288}
CLUSTER-6{size: 3, centroid: 7}
CLUSTER-7{size: 2, centroid: 193}
CLUSTER-8{size: 3, centroid: 404}
CLUSTER-9{size: 4, centroid: 168}
CLUSTER-10{size: 2, centroid: 72}
CLUSTER-11{size: 8, centroid: 79}
CLUSTER-12{size: 5, centroid: 306}
CLUSTER-13{size: 2, centroid: 199}
CLUSTER-14{size: 4, centroid: 390}
CLUSTER-15{size: 4, centroid: 54}
CLUSTER-16{size: 4, centroid: 329}
CLUSTER-17{size: 2, centroid: 62}
CLUSTER-18{size: 1, centroid: 346}
CLUSTER-19{size: 1, centroid: 13}
CLUSTER-20{size: 1, centroid: 20}
CLUSTER-21{size: 5, centroid: 234}
CLUSTER-22{size: 2, centroid: 102}
CLUSTER-23{size: 2, centroid: 282}
CLUSTER-24{size: 3, centroid: 164}
CLUSTER-25{size: 1, centroid: 6}
CLUSTER-26{size: 4, centroid: 11}
CLUSTER-27{size: 1, centroid: 108}
CLUSTER-28{size: 3, centroid: 134}
CLUSTER-29{size: 367, centroid: 273}
CLUSTER-30{size: 4, centroid: 285}
CLUSTER-31{size: 1, centroid: 414}
CLUSTER-32{size: 3, centroid: 420}
CLUSTER-33{size: 2, centroid: 353}
CLUSTER-34{size: 2, centroid: 462}
CLUSTER-35{size: 3, centroid: 237}
CLUSTER-36{size: 1, centroid: 259}
CLUSTER-37{size: 3, centroid: 99}
CLUSTER-38{size: 5, centroid: 49}
CLUSTER-39{size: 1, centroid: 299}
CLUSTER-40{size: 2, centroid: 227}
CLUSTER-41{size: 1, centroid: 271}
CLUSTER-42{size: 5, centroid: 274}
CLUSTER-43{size: 1, centroid: 128}
CLUSTER-44{size: 1, centroid: 284}
CLUSTER-45{size: 1, centroid: 334}
CLUSTER-46{size: 3, centroid: 281}
CLUSTER-47{size: 1, centroid: 412}
CLUSTER-48{size: 1, centroid: 19}
CLUSTER-49{size: 1, centroid: 338}
CLUSTER-0{size: 1, centroid: 1}
CLUSTER-1{size: 5, centroid: 2}
CLUSTER-2{size: 6, centroid: 3}
CLUSTER-3{size: 6, centroid: 4}
CLUSTER-4{size: 11, centroid: 5}
CLUSTER-5{size: 6, centroid: 6}
CLUSTER-6{size: 3, centroid: 7}
CLUSTER-7{size: 2, centroid: 8}
CLUSTER-8{size: 4, centroid: 9}
CLUSTER-9{size: 7, centroid: 10}
CLUSTER-10{size: 2, centroid: 11}
CLUSTER-11{size: 7, centroid: 12}
CLUSTER-12{size: 10, centroid: 13}
CLUSTER-13{size: 2, centroid: 14}
CLUSTER-14{size: 8, centroid: 15}
CLUSTER-15{size: 4, centroid: 16}
CLUSTER-16{size: 7, centroid: 17}
CLUSTER-17{size: 4, centroid: 18}
CLUSTER-18{size: 1, centroid: 19}
CLUSTER-19{size: 1, centroid: 20}
CLUSTER-20{size: 1, centroid: 21}
CLUSTER-21{size: 5, centroid: 22}
CLUSTER-22{size: 2, centroid: 23}
CLUSTER-23{size: 3, centroid: 24}
CLUSTER-24{size: 4, centroid: 25}
CLUSTER-25{size: 1, centroid: 26}
CLUSTER-26{size: 4, centroid: 27}
CLUSTER-27{size: 1, centroid: 28}
CLUSTER-28{size: 5, centroid: 29}
CLUSTER-29{size: 320, centroid: 30}
CLUSTER-30{size: 4, centroid: 31}
CLUSTER-31{size: 1, centroid: 32}
CLUSTER-32{size: 4, centroid: 33}
CLUSTER-33{size: 3, centroid: 34}
CLUSTER-34{size: 3, centroid: 35}
CLUSTER-35{size: 7, centroid: 36}
CLUSTER-36{size: 1, centroid: 37}
CLUSTER-37{size: 5, centroid: 38}
CLUSTER-38{size: 6, centroid: 39}
CLUSTER-39{size: 1, centroid: 40}
CLUSTER-40{size: 4, centroid: 41}
CLUSTER-41{size: 1, centroid: 42}
CLUSTER-42{size: 8, centroid: 43}
CLUSTER-43{size: 1, centroid: 44}
CLUSTER-44{size: 1, centroid: 45}
CLUSTER-45{size: 1, centroid: 46}
CLUSTER-46{size: 4, centroid: 47}
CLUSTER-47{size: 1, centroid: 48}
CLUSTER-48{size: 1, centroid: 49}
CLUSTER-49{size: 1, centroid: 50}
CLUSTER-0{size: 1, centroid: 51}
CLUSTER-1{size: 6, centroid: 52}
CLUSTER-2{size: 9, centroid: 53}
CLUSTER-3{size: 5, centroid: 54}
CLUSTER-4{size: 12, centroid: 55}
CLUSTER-5{size: 6, centroid: 56}
CLUSTER-6{size: 3, centroid: 57}
CLUSTER-7{size: 2, centroid: 58}
CLUSTER-8{size: 5, centroid: 59}
CLUSTER-9{size: 9, centroid: 60}
CLUSTER-10{size: 2, centroid: 61}
CLUSTER-11{size: 7, centroid: 62}
CLUSTER-12{size: 13, centroid: 63}
CLUSTER-13{size: 2, centroid: 64}
CLUSTER-14{size: 13, centroid: 65}
CLUSTER-15{size: 4, centroid: 66}
CLUSTER-16{size: 10, centroid: 67}
CLUSTER-17{size: 6, centroid: 68}
CLUSTER-18{size: 1, centroid: 69}
CLUSTER-19{size: 1, centroid: 70}
CLUSTER-20{size: 1, centroid: 71}
CLUSTER-21{size: 5, centroid: 72}
CLUSTER-22{size: 2, centroid: 73}
CLUSTER-23{size: 3, centroid: 74}
CLUSTER-24{size: 5, centroid: 75}
CLUSTER-25{size: 1, centroid: 76}
CLUSTER-26{size: 4, centroid: 77}
CLUSTER-27{size: 1, centroid: 78}
CLUSTER-28{size: 5, centroid: 79}
CLUSTER-29{size: 289, centroid: 80}
CLUSTER-30{size: 4, centroid: 81}
CLUSTER-31{size: 1, centroid: 82}
CLUSTER-32{size: 5, centroid: 83}
CLUSTER-33{size: 3, centroid: 84}
CLUSTER-34{size: 3, centroid: 85}
CLUSTER-35{size: 9, centroid: 86}
CLUSTER-36{size: 1, centroid: 87}
CLUSTER-37{size: 5, centroid: 88}
CLUSTER-38{size: 9, centroid: 89}
CLUSTER-39{size: 1, centroid: 90}
CLUSTER-40{size: 5, centroid: 91}
CLUSTER-41{size: 1, centroid: 92}
CLUSTER-42{size: 10, centroid: 93}
CLUSTER-43{size: 1, centroid: 94}
CLUSTER-44{size: 1, centroid: 95}
CLUSTER-45{size: 1, centroid: 96}
CLUSTER-46{size: 5, centroid: 97}
CLUSTER-47{size: 1, centroid: 98}
CLUSTER-48{size: 1, centroid: 99}
CLUSTER-49{size: 1, centroid: 100}
CLUSTER-0{size: 8, centroid: 2100}
CLUSTER-1{size: 18, centroid: 1062}
CLUSTER-2{size: 11, centroid: 2883}
CLUSTER-3{size: 22, centroid: 4177}
CLUSTER-4{size: 8, centroid: 3291}
CLUSTER-5{size: 28, centroid: 1373}
CLUSTER-6{size: 24, centroid: 2659}
CLUSTER-7{size: 3, centroid: 488}
CLUSTER-8{size: 24, centroid: 2099}
CLUSTER-9{size: 14, centroid: 3369}
CLUSTER-10{size: 15, centroid: 1220}
CLUSTER-11{size: 4, centroid: 1180}
CLUSTER-12{size: 5, centroid: 1773}
CLUSTER-13{size: 7, centroid: 4938}
CLUSTER-14{size: 29, centroid: 1261}
CLUSTER-15{size: 21, centroid: 642}
CLUSTER-16{size: 17, centroid: 1030}
CLUSTER-17{size: 23, centroid: 3100}
CLUSTER-18{size: 35, centroid: 3098}
CLUSTER-19{size: 9, centroid: 2583}
CLUSTER-20{size: 18, centroid: 1857}
CLUSTER-21{size: 12, centroid: 2947}
CLUSTER-22{size: 63, centroid: 4011}
CLUSTER-23{size: 3, centroid: 1328}
CLUSTER-24{size: 1, centroid: 1907}
CLUSTER-25{size: 37, centroid: 2325}
CLUSTER-26{size: 42, centroid: 3491}
CLUSTER-27{size: 28, centroid: 2722}
CLUSTER-28{size: 21, centroid: 3283}
CLUSTER-29{size: 3, centroid: 4751}
CLUSTER-30{size: 31, centroid: 3251}
CLUSTER-31{size: 6, centroid: 3874}
CLUSTER-32{size: 3, centroid: 4444}
CLUSTER-33{size: 10, centroid: 1182}
CLUSTER-34{size: 34, centroid: 1146}
CLUSTER-35{size: 1, centroid: 4977}
CLUSTER-36{size: 23, centroid: 2213}
CLUSTER-37{size: 1, centroid: 338}
CLUSTER-38{size: 33, centroid: 4287}
CLUSTER-39{size: 89, centroid: 3179}
CLUSTER-40{size: 29, centroid: 4801}
CLUSTER-41{size: 20, centroid: 2656}
CLUSTER-42{size: 4, centroid: 982}
CLUSTER-43{size: 9, centroid: 4686}
CLUSTER-44{size: 4, centroid: 3715}
CLUSTER-45{size: 43, centroid: 4535}
CLUSTER-46{size: 11, centroid: 363}
CLUSTER-47{size: 7, centroid: 1563}
CLUSTER-48{size: 8, centroid: 3308}
CLUSTER-49{size: 4081, centroid: 774}
CLUSTER-0{size: 19, centroid: 1}
CLUSTER-1{size: 36, centroid: 2}
CLUSTER-2{size: 30, centroid: 3}
CLUSTER-3{size: 124, centroid: 4}
CLUSTER-4{size: 19, centroid: 5}
CLUSTER-5{size: 29, centroid: 6}
CLUSTER-6{size: 42, centroid: 7}
CLUSTER-7{size: 16, centroid: 8}
CLUSTER-8{size: 96, centroid: 9}
CLUSTER-9{size: 59, centroid: 10}
CLUSTER-10{size: 49, centroid: 11}
CLUSTER-11{size: 21, centroid: 12}
CLUSTER-12{size: 10, centroid: 13}
CLUSTER-13{size: 10, centroid: 14}
CLUSTER-14{size: 35, centroid: 15}
CLUSTER-15{size: 42, centroid: 16}
CLUSTER-16{size: 42, centroid: 17}
CLUSTER-17{size: 34, centroid: 18}
CLUSTER-18{size: 93, centroid: 19}
CLUSTER-19{size: 26, centroid: 20}
CLUSTER-20{size: 21, centroid: 21}
CLUSTER-21{size: 26, centroid: 22}
CLUSTER-22{size: 130, centroid: 23}
CLUSTER-23{size: 27, centroid: 24}
CLUSTER-24{size: 1, centroid: 25}
CLUSTER-25{size: 98, centroid: 26}
CLUSTER-26{size: 67, centroid: 27}
CLUSTER-27{size: 76, centroid: 28}
CLUSTER-28{size: 34, centroid: 29}
CLUSTER-29{size: 28, centroid: 30}
CLUSTER-30{size: 63, centroid: 31}
CLUSTER-31{size: 21, centroid: 32}
CLUSTER-32{size: 3, centroid: 33}
CLUSTER-33{size: 42, centroid: 34}
CLUSTER-34{size: 66, centroid: 35}
CLUSTER-35{size: 1, centroid: 36}
CLUSTER-36{size: 51, centroid: 37}
CLUSTER-37{size: 2, centroid: 38}
CLUSTER-38{size: 47, centroid: 39}
CLUSTER-39{size: 92, centroid: 40}
CLUSTER-40{size: 45, centroid: 41}
CLUSTER-41{size: 89, centroid: 42}
CLUSTER-42{size: 5, centroid: 43}
CLUSTER-43{size: 22, centroid: 44}
CLUSTER-44{size: 24, centroid: 45}
CLUSTER-45{size: 72, centroid: 46}
CLUSTER-46{size: 31, centroid: 47}
CLUSTER-47{size: 16, centroid: 48}
CLUSTER-48{size: 40, centroid: 49}
CLUSTER-49{size: 2928, centroid: 50}
CLUSTER-0{size: 56, centroid: 51}
CLUSTER-1{size: 39, centroid: 52}
CLUSTER-2{size: 42, centroid: 53}
CLUSTER-3{size: 209, centroid: 54}
CLUSTER-4{size: 24, centroid: 55}
CLUSTER-5{size: 30, centroid: 56}
CLUSTER-6{size: 50, centroid: 57}
CLUSTER-7{size: 51, centroid: 58}
CLUSTER-8{size: 121, centroid: 59}
CLUSTER-9{size: 98, centroid: 60}
CLUSTER-10{size: 56, centroid: 61}
CLUSTER-11{size: 48, centroid: 62}
CLUSTER-12{size: 12, centroid: 63}
CLUSTER-13{size: 13, centroid: 64}
CLUSTER-14{size: 35, centroid: 65}
CLUSTER-15{size: 43, centroid: 66}
CLUSTER-16{size: 57, centroid: 67}
CLUSTER-17{size: 43, centroid: 68}
CLUSTER-18{size: 128, centroid: 69}
CLUSTER-19{size: 55, centroid: 70}
CLUSTER-20{size: 25, centroid: 71}
CLUSTER-21{size: 28, centroid: 72}
CLUSTER-22{size: 184, centroid: 73}
CLUSTER-23{size: 53, centroid: 74}
CLUSTER-24{size: 1, centroid: 75}
CLUSTER-25{size: 107, centroid: 76}
CLUSTER-26{size: 72, centroid: 77}
CLUSTER-27{size: 79, centroid: 78}
